line,rep,dai,dead_seedlings,total_seedlings,isolate
LD12-459,rep3,dai.10,8,8,OH28
LD12-459,rep3,dai.5,8,8,OH28
LD12-6010a,rep1,dai.10,9,9,OH28
LD12-6010a,rep1,dai.5,9,9,OH28
LD12-6010a,rep2,dai.10,10,10,OH28
LD12-6010a,rep2,dai.5,10,10,OH28
LD12-6010a,rep3,dai.10,8,8,OH28
LD12-6010a,rep3,dai.5,8,8,OH28
LD12-8677,rep1,dai.10,9,10,OH28
LD12-8677,rep1,dai.5,9,10,OH28
LD12-8677,rep2,dai.10,4,9,OH28
LD12-8677,rep2,dai.5,4,9,OH28
LD12-8677,rep3,dai.10,5,9,OH28
LD12-8677,rep3,dai.5,5,9,OH28
LD13-13334R1a,rep1,dai.10,3,9,OH28
LD13-13334R1a,rep1,dai.5,4,9,OH28
LD13-13334R1a,rep2,dai.10,0,7,OH28
LD13-13334R1a,rep2,dai.5,0,7,OH28
LD13-13334R1a,rep3,dai.10,2,8,OH28
LD13-13334R1a,rep3,dai.5,2,8,OH28
LD13-13478R1a,rep1,dai.10,10,10,OH28
LD13-13478R1a,rep1,dai.5,10,10,OH28
LD13-13478R1a,rep2,dai.10,10,10,OH28
LD13-13478R1a,rep2,dai.5,10,10,OH28
LD13-13478R1a,rep3,dai.10,10,10,OH28
LD13-13478R1a,rep3,dai.5,10,10,OH28
LD13-14071R2,rep1,dai.10,1,9,OH28
LD13-14071R2,rep1,dai.5,1,9,OH28
LD13-14071R2,rep2,dai.10,3,10,OH28
LD13-14071R2,rep2,dai.5,3,10,OH28
LD13-14071R2,rep3,dai.10,0,9,OH28
LD13-14071R2,rep3,dai.5,0,9,OH28
williams82,rep2,dai.10,10,10,OH28
williams82,rep2,dai.5,10,10,OH28
williams82,rep3,dai.10,8,8,OH28
williams82,rep3,dai.5,8,8,OH28
